"","Month_Yr","SUBURB","n"
"620","2018-10","KEILOR PARK",1
"621","2018-10","KENSINGTON",26
"622","2018-10","KEW",25
"623","2018-10","KEW EAST",7
"624","2018-10","KEYSBOROUGH",29
"625","2018-10","KILSYTH",23
"626","2018-10","KILSYTH SOUTH",2
"627","2018-10","KINGS PARK",5
"628","2018-10","KINGSBURY",3
"629","2018-10","KINGSVILLE",7
"630","2018-10","KNOXFIELD",10
"631","2018-10","KOO WEE RUP",3
"632","2018-10","KURUNJANG",12
"633","2018-10","LALOR",17
"634","2018-10","LANG LANG",1
"635","2018-10","LANGWARRIN",36
"636","2018-10","LAUNCHING PLACE",4
"637","2018-10","LAVERTON",13
"638","2018-10","LILYDALE",15
"639","2018-10","LOWER PLENTY",7
"640","2018-10","LYNBROOK",10
"641","2018-10","LYNDHURST",9
"642","2018-10","LYSTERFIELD",6
"643","2018-10","LYSTERFIELD SOUTH",2
"644","2018-10","MACLEOD",13
"645","2018-10","MAIDSTONE",13
"646","2018-10","MAIN RIDGE",1
"647","2018-10","MALVERN",12
"648","2018-10","MALVERN EAST",22
"649","2018-10","MANOR LAKES",8
"650","2018-10","MARIBYRNONG",18
"651","2018-10","MCCRAE",4
"652","2018-10","MCKINNON",6
"653","2018-10","MEADOW HEIGHTS",3
"654","2018-10","MELBOURNE",74
"655","2018-10","MELTON",20
"656","2018-10","MELTON SOUTH",16
"657","2018-10","MELTON WEST",17
"658","2018-10","MENTONE",17
"659","2018-10","MENZIES CREEK",1
"660","2018-10","MERNDA",38
"661","2018-10","MICKLEHAM",18
"662","2018-10","MIDDLE PARK",8
"663","2018-10","MILL PARK",31
"664","2018-10","MILLGROVE",4
"665","2018-10","MITCHAM",22
"666","2018-10","MONBULK",5
"667","2018-10","MONT ALBERT",1
"668","2018-10","MONT ALBERT NORTH",10
"669","2018-10","MONTMORENCY",13
"670","2018-10","MONTROSE",4
"671","2018-10","MOONEE PONDS",21
"672","2018-10","MOORABBIN",14
"673","2018-10","MOOROODUC",2
"674","2018-10","MOOROOLBARK",21
"675","2018-10","MORDIALLOC",12
"676","2018-10","MORNINGTON",32
"677","2018-10","MOUNT BURNETT",1
"678","2018-10","MOUNT DANDENONG",3
"679","2018-10","MOUNT ELIZA",20
"680","2018-10","MOUNT EVELYN",12
"681","2018-10","MOUNT MARTHA",29
"682","2018-10","MOUNT WAVERLEY",37
"683","2018-10","MULGRAVE",22
"684","2018-10","MURRUMBEENA",16
"685","2018-10","NAR NAR GOON NORTH",1
"686","2018-10","NARRE WARREN",28
"687","2018-10","NARRE WARREN NORTH",4
"688","2018-10","NARRE WARREN SOUTH",34
"689","2018-10","NEWPORT",18
"690","2018-10","NIDDRIE",12
"691","2018-10","NOBLE PARK",21
"692","2018-10","NOBLE PARK NORTH",5
"693","2018-10","NORTH MELBOURNE",17
"694","2018-10","NORTHCOTE",26
"695","2018-10","NOTTING HILL",4
"696","2018-10","NUNAWADING",10
"697","2018-10","OAK PARK",11
"698","2018-10","OAKLEIGH",4
"699","2018-10","OAKLEIGH EAST",5
"700","2018-10","OAKLEIGH SOUTH",7
"701","2018-10","OFFICER",24
"702","2018-10","OLINDA",3
"703","2018-10","ORMOND",10
"704","2018-10","PAKENHAM",104
"705","2018-10","PANTON HILL",2
"706","2018-10","PARKDALE",9
"707","2018-10","PARKVILLE",6
"708","2018-10","PASCOE VALE",25
"709","2018-10","PASCOE VALE SOUTH",11
"710","2018-10","PATTERSON LAKES",6
"711","2018-10","PEARCEDALE",2
"712","2018-10","PLENTY",3
"713","2018-10","PLUMPTON",6
"714","2018-10","POINT COOK",41
"715","2018-10","PORT MELBOURNE",23
"716","2018-10","PORTSEA",1
"717","2018-10","PRAHRAN",24
"718","2018-10","PRESTON",42
"719","2018-10","RED HILL",5
"720","2018-10","RESEARCH",3
"721","2018-10","RESERVOIR",61
"722","2018-10","RICHMOND",46
"723","2018-10","RINGWOOD",20
"724","2018-10","RINGWOOD EAST",18
"725","2018-10","RINGWOOD NORTH",11
"726","2018-10","RIPPONLEA",2
"727","2018-10","ROCKBANK",3
"728","2018-10","ROSANNA",16
"729","2018-10","ROSEBUD",26
"730","2018-10","ROWVILLE",41
"731","2018-10","ROXBURGH PARK",21
"732","2018-10","RYE",25
