"","year","SUBURB","n"
"580","2019","COOLAROO",22
"581","2019","CORA LYNN",1
"582","2019","COTTLES BRIDGE",2
"583","2019","CRAIGIEBURN",823
"584","2019","CRANBOURNE",303
"585","2019","CRANBOURNE EAST",267
"586","2019","CRANBOURNE NORTH",338
"587","2019","CRANBOURNE SOUTH",7
"588","2019","CRANBOURNE WEST",296
"589","2019","CREMORNE",5
"590","2019","CRIB POINT",71
"591","2019","CROYDON",502
"592","2019","CROYDON HILLS",58
"593","2019","CROYDON NORTH",122
"594","2019","CROYDON SOUTH",74
"595","2019","DALLAS",58
"596","2019","DALMORE",1
"597","2019","DANDENONG",323
"598","2019","DANDENONG NORTH",227
"599","2019","DEEPDENE",17
"600","2019","DEER PARK",212
"601","2019","DELAHEY",79
"602","2019","DERRIMUT",88
"603","2019","DEVON MEADOWS",10
"604","2019","DIAMOND CREEK",184
"605","2019","DIGGERS REST",55
"606","2019","DINGLEY VILLAGE",108
"607","2019","DIXONS CREEK",3
"608","2019","DOCKLANDS",312
"609","2019","DON VALLEY",6
"610","2019","DONCASTER",408
"611","2019","DONCASTER EAST",358
"612","2019","DONNYBROOK",9
"613","2019","DONVALE",182
"614","2019","DOREEN",489
"615","2019","DOVETON",142
"616","2019","DROMANA",146
"617","2019","EAGLEMONT",57
"618","2019","EAST MELBOURNE",72
"619","2019","EAST WARBURTON",23
"620","2019","EDEN PARK",9
"621","2019","EDITHVALE",122
"622","2019","ELSTERNWICK",139
"623","2019","ELTHAM",267
"624","2019","ELTHAM NORTH",75
"625","2019","ELWOOD",282
"626","2019","EMERALD",83
"627","2019","ENDEAVOUR HILLS",259
"628","2019","EPPING",347
"629","2019","ESSENDON",294
"630","2019","ESSENDON NORTH",43
"631","2019","ESSENDON WEST",17
"632","2019","EUMEMMERRING",24
"633","2019","EYNESBURY",54
"634","2019","FAIRFIELD",84
"635","2019","FAWKNER",163
"636","2019","FERNTREE GULLY",362
"637","2019","FERNY CREEK",28
"638","2019","FINGAL",14
"639","2019","FITZROY",159
"640","2019","FITZROY NORTH",147
"641","2019","FLEMINGTON",106
"642","2019","FLINDERS",27
"643","2019","FOOTSCRAY",264
"644","2019","FOREST HILL",137
"645","2019","FRANKSTON",729
"646","2019","FRANKSTON NORTH",91
"647","2019","FRANKSTON SOUTH",314
"648","2019","FRASER RISE",99
"649","2019","GARDENVALE",16
"650","2019","GARFIELD",27
"651","2019","GEMBROOK",40
